date,t_ave,t_max,t_min
2024-03-16,9,14.1,1.6
2024-03-17,4.1,9.1,-0.7
2024-03-18,1.7,8.1,-3.3
2024-03-19,3.7,10.4,-3.8
2024-03-20,9.7,17.5,1
2024-03-21,9.9,15.3,4.7
2024-03-22,9.4,12.7,5.6
2024-03-23,5.8,8.6,1.9
2024-03-24,4.8,8.2,1.3
2024-03-25,5.8,10.4,0
2024-03-26,7.3,14,-0.3
2024-03-27,12,18.4,5.7
2024-03-28,10.2,15.4,7.5
2024-03-29,10.2,16.5,4.4
2024-03-30,14.6,23.4,6.2
2024-03-31,13.3,18.8,8.3
2024-04-01,12.9,20.3,7.7
2024-04-02,11.3,15.2,7.9
2024-04-03,10.3,11.9,8.6
2024-04-04,11.9,15.4,8.9
2024-04-05,14.2,18.9,9.9
2024-04-06,16.9,23,9.8
2024-04-07,18.5,23.1,13.3
2024-04-08,19.6,26.8,13.5
2024-04-09,17.9,26.4,10.6
2024-04-10,11.1,14.7,5.4
2024-04-11,11.9,17,4.6
2024-04-12,15.2,19.8,11.9
2024-04-13,16.7,22.6,9.7
2024-04-14,14.3,16.8,7.5
2024-04-15,10.3,15,5.5
2024-04-16,6.9,10.8,3.7
2024-04-17,6.4,12.2,1.8
2024-04-18,6.8,12.1,1.5
2024-04-19,5.9,8.5,3.8
2024-04-20,5.3,9.5,0.9
2024-04-21,3.9,9.5,-1.8
2024-04-22,2.4,6.1,-2
2024-04-23,4.7,10.4,-1.9
2024-04-24,6.1,10,2
2024-04-25,5,10.3,0.7
2024-04-26,8.9,15.3,2.2
2024-04-27,13.1,21.3,1.3
2024-04-28,16.5,23.6,8.4
2024-04-29,16.9,22.1,11.7
2024-04-30,19.9,28,10
2024-05-01,20.6,26.2,13.9
2024-05-02,20.2,26,13.9
2024-05-03,18.1,23.2,13.2
2024-05-04,16.1,22,11.1
2024-05-05,15.2,19.8,8.3
2024-05-06,13.5,19.5,6.7
2024-05-07,11.4,15.6,7.8
2024-05-08,12.6,18.9,6.9
2024-05-09,13.8,20.6,4.8
2024-05-10,16.5,22.9,8.9
2024-05-11,14.7,20.2,9.6
2024-05-12,15,21.9,8.3
2024-05-13,16.9,24.5,8.1
2024-05-14,18.7,25.7,10.5
2024-05-15,19.9,26.3,11.4
2024-05-16,19.9,26,13.5
2024-05-17,19.2,25.9,14.3
2024-05-18,15.9,20.6,11.6
2024-05-19,15.6,20.9,9.8
2024-05-20,16.3,22.2,8.9
2024-05-21,20.8,27.9,11.4
2024-05-22,20.3,26,14.8
2024-05-23,19,24.7,14
2024-05-24,18.7,26.1,12.1
2024-05-25,18.4,24.4,13.2
2024-05-26,19.6,25.2,11.5
2024-05-27,20,24.9,15.6
2024-05-28,15.8,18.2,11.1
2024-05-29,16.9,23.1,9.1
2024-05-30,16.9,21.6,13.1
2024-05-31,18,22.7,12.4
2024-06-01,21,26.7,15.9
2024-06-02,20.1,25,15.9
2024-06-03,14.3,16.1,11.6
2024-06-04,16.1,21.1,11.2
2024-06-05,15.8,20.6,10.5
2024-06-06,15.7,21.1,9.5
2024-06-07,16.1,21,9.2
2024-06-08,18.6,26.6,7.7
2024-06-09,16.2,21.3,11.1
2024-06-10,15.2,20.2,10
2024-06-11,13.2,18.2,8.1
2024-06-12,12.8,18.4,6.5
2024-06-13,14.1,19.6,8.1
2024-06-14,14.1,20.8,8
2024-06-15,17.3,23.2,10.3
2024-06-16,18.7,25.5,10.3
2024-06-17,19.5,25.3,14.2
2024-06-18,20.1,27.9,13.3
2024-06-19,16.3,18.4,11.8
2024-06-20,17.6,23,10
2024-06-21,20.7,27.9,15
2024-06-22,19.1,23.6,14.1
2024-06-23,18.9,23.4,14.2
2024-06-24,19.4,25.3,12.4
2024-06-25,20.7,26.4,13.8
2024-06-26,24.2,30.4,16
2024-06-27,24.4,30.4,19.8
2024-06-28,22.8,29.2,14.4
2024-06-29,23.4,29.8,13
2024-06-30,21.8,28.1,16.5
2024-07-01,17.1,20.2,12.3
2024-07-02,15.1,18,12.7
2024-07-03,15.1,18.2,12
2024-07-04,15.3,19.6,11.5
2024-07-05,16.7,22.4,9.7
2024-07-06,21.7,31.9,14.3
2024-07-07,18.3,22.7,12.3
2024-07-08,19.9,26.5,10.8
2024-07-09,24.6,30.9,16.9
2024-07-10,24.1,30.2,19.7
2024-07-11,22.6,27.2,19
2024-07-12,20.4,24.8,18.4
2024-07-13,18.1,23,13
2024-07-14,19.5,25.3,12.3
2024-07-15,23.1,29.2,14.6
2024-07-16,21.6,28.8,16.2
2024-07-17,19.4,24.5,13.8
2024-07-18,20.4,26.9,13.9
2024-07-19,22.2,29,14
2024-07-20,24.1,30.4,17.4
2024-07-21,24.6,32.6,17.1
2024-07-22,20.2,23.9,13.7
2024-07-23,19.8,28.2,12.2
2024-07-24,19.5,24.5,13.3
2024-07-25,17.9,23.4,10.7
2024-07-26,20,25,12.7
2024-07-27,19.9,23.4,16.9
2024-07-28,18.4,23.6,13.5
2024-07-29,18.4,24.2,12.1
2024-07-30,20.4,27.9,11
2024-07-31,23.2,29.3,14.9
2024-08-01,22.5,28.2,17.3
2024-08-02,19.6,22.5,17
2024-08-03,20.4,25.5,14.4
2024-08-04,19.7,24.2,16.7
2024-08-05,18.8,23.4,13.6
2024-08-06,19.8,26.1,12
2024-08-07,22.2,29.5,14.6
2024-08-08,20.3,24.1,15
2024-08-09,19.9,25.6,13.7
2024-08-10,20.8,27,14.2
2024-08-11,21,25.9,14.8
2024-08-12,20.7,28.2,12.2
2024-08-13,22.5,29.7,14.1
2024-08-14,24.1,32.2,16.9
2024-08-15,23.4,28.8,17.5
2024-08-16,24.1,30.5,16.6
2024-08-17,23.6,30,18.4
2024-08-18,20.4,24.4,17.4
2024-08-19,19.3,23.6,12.1
2024-08-20,20.2,27.1,10.8
2024-08-21,19.8,23.9,12.2
2024-08-22,18.3,24.3,12
2024-08-23,23.2,30.7,15.2
2024-08-24,25.2,32.7,15.8
2024-08-25,20.8,24.7,12.9
2024-08-26,18.7,25.7,11.2
2024-08-27,19.5,27.1,11.7
2024-08-28,22.7,30.2,14.4
2024-08-29,26.3,34.3,19.3
2024-08-30,23.3,30.8,16.6
2024-08-31,19,24.7,15.1
2024-09-01,19,25.9,13.1
2024-09-02,19.6,27.2,10.9
2024-09-03,24.2,33,17
2024-09-04,25.7,34.1,17.6
2024-09-05,25.4,31.7,19.4
2024-09-06,23.1,30.3,16.8
2024-09-07,23.2,31.3,13.8
2024-09-08,25.3,32.2,18.4
2024-09-09,18.3,23.8,13.7
